filename,auc_generated,median_cos_sim_generated,percentage_invalid_neighbors
00649373.stl,0.8516981371258361,0.9996891917238393,85.04638671875
00799350.stl,0.8652777721721668,1.0,86.2548828125
00366615.stl,0.9823608413097102,0.9999999999999999,98.2421875
00924586.stl,0.9432894728217815,0.9999999999999999,94.287109375
00604273.stl,0.94146728515625,1.0,94.04296875
00576649.stl,0.9928629978177735,1.0,99.2919921875
00792211.stl,0.99920654296875,1.0,99.9267578125
00603508.stl,0.8402076937597721,1.0,83.9111328125
00666384.stl,0.99835205078125,1.0,99.84130859375
00966979.stl,0.9518614710945378,1.0,95.1416015625
00906055.stl,0.999450683594908,1.0,99.951171875
00993258.stl,0.99945068359375,1.0,99.951171875
00440489.stl,0.69158935546875,1.0,68.9453125
00177978.stl,0.90057373046875,1.0,90.00244140625
00619236.stl,0.8839296701336894,1.0,88.17138671875
00683308.stl,0.6911970424559677,0.9999999999998191,68.76220703125
00020834.stl,0.9948120117242009,1.0,99.47509765625
00673789.stl,0.99945068359375,1.0,99.951171875
00226231.stl,0.9568426665721355,1.0,95.6787109375
00637120.stl,0.9735204272736857,0.9996892135524175,97.3388671875
00937263.stl,0.8922715375619108,1.0,89.05029296875
00146596.stl,0.8020617367786896,0.9999999999999999,80.0048828125
00543619.stl,0.984375,1.0,98.37646484375
00285203.stl,0.8971426486122673,0.9999997343385023,89.61181640625
00342984.stl,0.9255662272662707,1.0,92.4560546875
00779529.stl,0.8497056786191717,1.0,84.82666015625
00051954.stl,0.732662180682534,0.9999999999999698,72.998046875
00806900.stl,0.9868774421770329,1.0,98.69384765625
00648086.stl,0.80889892578125,1.0,80.79833984375
00426095.stl,0.974853515625,1.0,97.4853515625
00117915.stl,0.9181899178015918,1.0,91.7724609375
00940799.stl,0.94683837890625,1.0,94.677734375
00310026.stl,0.83306884765625,1.0,83.251953125
00467787.stl,0.99786376953125,1.0,99.79248046875
00033121.stl,0.99981689453125,1.0,99.98779296875
00172169.stl,0.6580810546875,1.0,65.576171875
00839500.stl,0.9979879249168032,1.0,99.8046875
00300553.stl,0.93353271484375,1.0,93.2373046875
00587101.stl,0.9981611930972808,0.9922396242500313,99.81689453125
00825129.stl,0.71826171875,1.0,71.728515625
00178444.stl,0.9441030345926384,0.9999999999999999,93.90869140625
00548764.stl,0.9114689908493878,0.9999999999999999,91.0400390625
00962504.stl,0.9135694473937307,1.0,91.30859375
00261807.stl,0.8929443359375,1.0,89.2333984375
00103784.stl,0.99957275390625,0.5,99.951171875
00662647.stl,0.9912891143687995,1.0,99.13330078125
00624612.stl,0.975341796875,1.0,97.5341796875
00145909.stl,0.76678466796875,1.0,76.513671875
00220683.stl,0.9995583467753502,-0.6085257709244427,99.9267578125
00060784.stl,0.919677734375,1.0,91.943359375
00860850.stl,0.847464873668806,0.9999999999999999,84.55810546875
00851333.stl,0.98858642578125,1.0,98.86474609375
00325260.stl,0.9837054192442429,1.0,98.35205078125
00111169.stl,0.7993677532991956,0.9996891821620252,79.6630859375
00367053.stl,0.7320142039396427,1.0,73.05908203125
00106401.stl,0.9938354506230447,0.9999999999997782,99.365234375
00715140.stl,0.8720361277072672,1.0,86.95068359375
00335067.stl,0.996154785156829,1.0,99.62158203125
00743460.stl,0.8480785097857951,0.9999999999968832,84.75341796875
00207957.stl,0.97235107421875,1.0,97.22900390625
00644455.stl,0.979780893480354,1.0,97.93701171875
00682566.stl,0.9840759579902807,1.0,98.3642578125
00467220.stl,0.7082074226166988,0.9999999999999964,70.556640625
00234423.stl,0.7874894953475774,1.0,78.564453125
00919405.stl,0.6079809447016404,0.9999999999999116,60.5224609375
00438042.stl,0.826171810151112,1.0,82.38525390625
00201498.stl,0.9134111140708793,1.0,91.27197265625
00923955.stl,0.9459228515625,1.0,94.59228515625
00058541.stl,0.99920654296875,1.0,99.9267578125
00729685.stl,0.5799424922218206,0.9996891918968791,57.58056640625
00537417.stl,0.756103515625,1.0,75.5126953125
00840216.stl,0.98895263671875,1.0,98.9013671875
00015455.stl,0.9994119846840188,0.0,99.89013671875
00296928.stl,0.76971435546875,1.0,76.77001953125
00772681.stl,0.7908404009537658,1.0,78.90625
00224142.stl,0.98565673828125,1.0,98.5595703125
00649165.stl,1.0,0.0,100.0
00486960.stl,0.8037374036968826,1.0,80.23681640625
00241916.stl,0.9488105328665234,1.0,94.8486328125
00664791.stl,0.99932861328125,1.0,99.93896484375
00302191.stl,0.9853122287107934,1.0,98.5107421875
00860878.stl,0.7793103111371594,1.0,77.7587890625
00723343.stl,0.9475307385266153,1.0,94.73876953125
00580450.stl,1.0,0.0,100.0
00977445.stl,0.9066893380713176,0.9998469100654859,90.5029296875
00596232.stl,0.9575473307947446,1.0,95.56884765625
00786933.stl,0.6521380320868781,0.9999999999999956,64.85595703125
00778347.stl,0.7835228666221359,0.9999999999999859,78.16162109375
00218122.stl,0.9764472108344413,0.9999999999999999,97.64404296875
00935104.stl,0.99981689453125,1.0,99.98779296875
00511349.stl,1.0,0.0,100.0
00355988.stl,0.811036299471604,1.0,80.2734375
00496232.stl,0.8215717225471664,1.0,82.0068359375
00575803.stl,0.7611083984375,1.0,75.9521484375
00146958.stl,0.92529296875,1.0,92.44384765625
00773560.stl,0.9217529296875,1.0,92.0654296875
00660508.stl,0.8495303425474956,0.9999999999999998,84.85107421875
00569594.stl,0.99945068359375,1.0,99.951171875
00536090.stl,0.8555046379726619,1.0,85.3515625
00498551.stl,0.9559762133351905,0.9999999999999999,95.56884765625
00475181.stl,1.0,0.0,100.0
00254314.stl,0.7960069465891679,0.9996892101189367,79.345703125
00301329.stl,0.933339173939239,1.0,93.310546875
00014788.stl,0.92999267578125,1.0,92.9443359375
00254300.stl,0.9912109379615561,1.0,99.12109375
00522967.stl,0.9153673346660532,0.9999371767800811,91.44287109375
00296055.stl,0.9556509595104157,1.0,95.5322265625
00436899.stl,0.994384765625,1.0,99.4384765625
00712029.stl,0.99957275390625,1.0,99.96337890625
00466076.stl,0.98321533203125,1.0,98.30322265625
00189052.stl,0.99456787109954,1.0,99.462890625
00576517.stl,0.80029296875,1.0,79.89501953125
00261542.stl,0.998901367189237,1.0,99.89013671875
00741471.stl,0.9899311370790719,1.0,98.9990234375
00668949.stl,0.84112548828125,1.0,84.02099609375
00373146.stl,0.7521596935367832,1.0,75.0
00604893.stl,0.9975346388488942,0.9949305704072309,99.70703125
00757561.stl,0.8661421431066199,0.999992911135588,86.43798828125
00462204.stl,0.659423828125,1.0,65.71044921875
00162959.stl,0.83367919921875,1.0,83.26416015625
00893660.stl,0.960170796986354,1.0,95.99609375
00071931.stl,0.99896240234375,1.0,99.90234375
00748469.stl,0.7040851573204107,0.9999999999997418,69.8486328125
00082891.stl,0.799129425536239,1.0,79.7607421875
00749777.stl,0.8521730586584308,1.0,84.99755859375
00183225.stl,0.9765681650842769,1.0,97.65625
00909762.stl,0.92510986328125,1.0,92.5048828125
00531106.stl,1.0,0.0,100.0
00425601.stl,0.99957275390625,1.0,99.96337890625
00229260.stl,0.86029052734375,1.0,85.986328125
00248846.stl,0.8295260022063814,0.9999999999968832,82.8857421875
00602206.stl,0.9745549054675587,1.0,97.4609375
00328618.stl,0.60382080078125,1.0,59.36279296875
00395399.stl,0.81243896484375,1.0,81.14013671875
00241862.stl,0.999573051641541,1.0,99.96337890625
00654726.stl,0.99578857421875,1.0,99.5849609375
00749788.stl,0.836128061130289,1.0,83.4716796875
00293717.stl,0.9975614999565571,1.0,99.755859375
00767475.stl,0.87017822265625,1.0,86.962890625
00289997.stl,0.9619393734037878,0.9999997550906821,96.1181640625
00281313.stl,0.99835205078125,1.0,99.84130859375
00032613.stl,0.94720458984375,1.0,94.59228515625
00959814.stl,1.0,0.0,100.0
00208251.stl,0.81036376953125,1.0,80.908203125
00960059.stl,0.9989627988098266,1.0,99.89013671875
00306254.stl,0.9995727539494246,0.9999999999999206,99.96337890625
00407463.stl,0.9893614990676687,0.9999999999475355,98.93798828125
00005083.stl,0.6904936427548116,1.0,68.798828125
00946908.stl,0.98858642578125,1.0,98.86474609375
00837883.stl,0.99981689453125,1.0,99.98779296875
00918874.stl,0.9099167488335425,1.0,90.869140625
00812381.stl,0.9990848258845816,1.0,99.91455078125
00676544.stl,0.903957796987513,1.0,90.3564453125
00383538.stl,0.8821464891388269,1.0,87.95166015625
00282154.stl,0.8308881917724511,0.9999999999999999,82.72705078125
00105083.stl,0.68736585830768,1.0,68.5302734375
00615961.stl,0.77288818359375,1.0,77.197265625
00304331.stl,0.9451512217443292,1.0,94.482421875
00453026.stl,0.99945068359375,1.0,99.951171875
00749978.stl,0.9826660156488796,1.0,98.2421875
00517116.stl,0.9869484914055028,0.9999999999999999,98.69384765625
00305749.stl,0.6574125747415339,1.0,65.31982421875
00384531.stl,0.9794311523657521,1.0,97.91259765625
00515701.stl,0.9891528806197083,1.0,98.91357421875
00096364.stl,1.0,0.0,100.0
00655174.stl,0.710515259295854,1.0,70.6787109375
00739910.stl,1.0,0.0,100.0
00464463.stl,0.9926149613451711,1.0,99.267578125
00893476.stl,0.8856254740147806,0.9999012643634602,88.46435546875
00480097.stl,0.9579012472884871,0.9999999999999999,95.7763671875
00277122.stl,0.8126676040767973,0.999689186475175,81.0302734375
